RecordID	SeverityName	MessageID	Severity	MsgDLLName	Component	MachineName	Time	SiteCode	InsString1	InsString2	InsString3	InsString4	InsString5	InsString6	InsString7	InsString8	InsString9	InsString10
72057594038365003	Informational	500	1073741824	srvmsgs.dll	SMS_REPLICATION_MANAGER	CM01.asd.net	2019-09-15 04:10:50.310	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038365004	Informational	500	1073741824	srvmsgs.dll	SMS_REPLICATION_CONFIGURATION_MONITOR	CM01.asd.net	2019-09-15 04:10:50.247	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364998	Informational	500	1073741824	srvmsgs.dll	SMS_POLICY_PROVIDER	CM01.asd.net	2019-09-15 04:10:50.187	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364999	Informational	9901	1073741824	srvmsgs.dll	SMS_NOTIFICATION_MANAGER	CM01.asd.net	2019-09-15 04:10:50.140	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364993	Informational	500	1073741824	srvmsgs.dll	SMS_PACKAGE_TRANSFER_MANAGER	CM01.asd.net	2019-09-15 04:10:50.140	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364996	Informational	500	1073741824	srvmsgs.dll	SMS_OUTGOING_CONTENT_MANAGER	CM01.asd.net	2019-09-15 04:10:50.077	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038365007	Informational	500	1073741824	srvmsgs.dll	SMS_OUTBOX_MONITOR	CM01.asd.net	2019-09-15 04:10:50.030	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364981	Informational	500	1073741824	srvmsgs.dll	SMS_OFFER_STATUS_SUMMARIZER	CM01.asd.net	2019-09-15 04:10:49.983	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364975	Informational	500	1073741824	srvmsgs.dll	SMS_OFFER_MANAGER	CM01.asd.net	2019-09-15 04:10:49.920	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72057594038364990	Informational	500	1073741824	srvmsgs.dll	SMS_OBJECT_REPLICATION_MANAGER	CM01.asd.net	2019-09-15 04:10:49.797	PS1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
