
name                                          kind      url                                          
----                                          ----      ---                                          
AdvertisementInfo                             EntitySet AdvertisementInfo                            
ReportViewSchema                              EntitySet ReportViewSchema                             
DeploymentInfo                                EntitySet DeploymentInfo                               
MeterData                                     EntitySet MeterData                                    
MeteredUser                                   EntitySet MeteredUser                                  
MeteredProductRule                            EntitySet MeteredProductRule                           
ProductFileInfo                               EntitySet ProductFileInfo                              
SummarizationInterval                         EntitySet SummarizationInterval                        
MonthlyUsageSummary                           EntitySet MonthlyUsageSummary                          
FileUsageSummary                              EntitySet FileUsageSummary                             
Group                                         EntitySet Group                                        
G_System                                      EntitySet G_System                                     
SoftwareUsageData                             EntitySet SoftwareUsageData                            
SystemResourceQueryResults                    EntitySet SystemResourceQueryResults                   
CI_ComplianceState                            EntitySet CI_ComplianceState                           
EAS_Property                                  EntitySet EAS_Property                                 
CH_ClientSummary                              EntitySet CH_ClientSummary                             
AppClientState                                EntitySet AppClientState                               
DeviceDCMDeploymentState                      EntitySet DeviceDCMDeploymentState                     
DeviceDCMDeploymentErrorAssetDetails          EntitySet DeviceDCMDeploymentErrorAssetDetails         
DeviceDCMDeploymentCompliantAssetDetails      EntitySet DeviceDCMDeploymentCompliantAssetDetails     
DeviceDCMDeploymentNonCompliantAssetDetails   EntitySet DeviceDCMDeploymentNonCompliantAssetDetails  
ResourceClientSettingsAssignment              EntitySet ResourceClientSettingsAssignment             
AntimalwareInfectionStatus                    EntitySet AntimalwareInfectionStatus                   
Threats                                       EntitySet Threats                                      
AntimalwareHealthStatus                       EntitySet AntimalwareHealthStatus                      
EPDeploymentState                             EntitySet EPDeploymentState                            
EPPolicyApplication                           EntitySet EPPolicyApplication                          
EndpointProtectionStatus                      EntitySet EndpointProtectionStatus                     
AmPolicyStatus                                EntitySet AmPolicyStatus                               
AdvancedThreatProtectionHealthStatus          EntitySet AdvancedThreatProtectionHealthStatus         
Current                                       EntitySet Current                                      
1394_CONTROLLER                               EntitySet 1394_CONTROLLER                              
ACTIVESYNC_CONNECTED_DEVICE                   EntitySet ACTIVESYNC_CONNECTED_DEVICE                  
ACTIVESYNC_SERVICE                            EntitySet ACTIVESYNC_SERVICE                           
ADD_REMOVE_PROGRAMS_64                        EntitySet ADD_REMOVE_PROGRAMS_64                       
ADD_REMOVE_PROGRAMS                           EntitySet ADD_REMOVE_PROGRAMS                          
ADVANCED_CLIENT_PORTS                         EntitySet ADVANCED_CLIENT_PORTS                        
ADVANCED_CLIENT_SSL_CONFIGURATIONS            EntitySet ADVANCED_CLIENT_SSL_CONFIGURATIONS           
AMT_AGENT                                     EntitySet AMT_AGENT                                    
APPV_CLIENT_APPLICATION                       EntitySet APPV_CLIENT_APPLICATION                      
APPV_CLIENT_PACKAGE                           EntitySet APPV_CLIENT_PACKAGE                          
AUTOSTART_SOFTWARE                            EntitySet AUTOSTART_SOFTWARE                           
BASEBOARD                                     EntitySet BASEBOARD                                    
BATTERY                                       EntitySet BATTERY                                      
BOOT_CONFIGURATION                            EntitySet BOOT_CONFIGURATION                           
BROWSER_HELPER_OBJECT                         EntitySet BROWSER_HELPER_OBJECT                        
CCM_RECENTLY_USED_APPS                        EntitySet CCM_RECENTLY_USED_APPS                       
CDROM                                         EntitySet CDROM                                        
COMPUTER_SYSTEM_PRODUCT                       EntitySet COMPUTER_SYSTEM_PRODUCT                      
COMPUTER_SYSTEM                               EntitySet COMPUTER_SYSTEM                              
DEFAULT_BROWSER                               EntitySet DEFAULT_BROWSER                              
DESKTOP_MONITOR                               EntitySet DESKTOP_MONITOR                              
DESKTOP                                       EntitySet DESKTOP                                      
DEVICE_BLUETOOTH                              EntitySet DEVICE_BLUETOOTH                             
DEVICE_CAMERA                                 EntitySet DEVICE_CAMERA                                
DEVICE_CERTIFICATES                           EntitySet DEVICE_CERTIFICATES                          
DEVICE_CLIENTAGENTVERSION                     EntitySet DEVICE_CLIENTAGENTVERSION                    
DEVICE_CLIENT                                 EntitySet DEVICE_CLIENT                                
DEVICE_COMPUTERSYSTEM                         EntitySet DEVICE_COMPUTERSYSTEM                        
DEVICE_DISPLAY                                EntitySet DEVICE_DISPLAY                               
DEVICE_EMAIL                                  EntitySet DEVICE_EMAIL                                 
DEVICE_ENCRYPTION                             EntitySet DEVICE_ENCRYPTION                            
DEVICE_EXCHANGE                               EntitySet DEVICE_EXCHANGE                              
DEVICE_INFO                                   EntitySet DEVICE_INFO                                  
DEVICE_INSTALLEDAPPLICATIONS                  EntitySet DEVICE_INSTALLEDAPPLICATIONS                 
DEVICE_IRDA                                   EntitySet DEVICE_IRDA                                  
DEVICE_MEMORY_ADDRESS                         EntitySet DEVICE_MEMORY_ADDRESS                        
DEVICE_MEMORY                                 EntitySet DEVICE_MEMORY                                
DEVICE_OSINFORMATION                          EntitySet DEVICE_OSINFORMATION                         
DEVICE_PASSWORD                               EntitySet DEVICE_PASSWORD                              
DEVICE_POLICY                                 EntitySet DEVICE_POLICY                                
DEVICE_POWER                                  EntitySet DEVICE_POWER                                 
DEVICE_WINDOWSSECURITYPOLICY                  EntitySet DEVICE_WINDOWSSECURITYPOLICY                 
DEVICE_WLAN                                   EntitySet DEVICE_WLAN                                  
DISK                                          EntitySet DISK                                         
DMA_CHANNEL                                   EntitySet DMA_CHANNEL                                  
DRIVER_VXD                                    EntitySet DRIVER_VXD                                   
EMBEDDED_DEVICE_INFO                          EntitySet EMBEDDED_DEVICE_INFO                         
ENCRYPTABLE_VOLUME                            EntitySet ENCRYPTABLE_VOLUME                           
ENVIRONMENT                                   EntitySet ENVIRONMENT                                  
FIRMWARE                                      EntitySet FIRMWARE                                     
FOLDER_REDIRECTION_HEALTH                     EntitySet FOLDER_REDIRECTION_HEALTH                    
IDE_CONTROLLER                                EntitySet IDE_CONTROLLER                               
INSTALLED_EXECUTABLE                          EntitySet INSTALLED_EXECUTABLE                         
INSTALLED_SOFTWARE                            EntitySet INSTALLED_SOFTWARE                           
IRQ                                           EntitySet IRQ                                          
KEYBOARD_DEVICE                               EntitySet KEYBOARD_DEVICE                              
LOAD_ORDER_GROUP                              EntitySet LOAD_ORDER_GROUP                             
LOGICAL_DISK                                  EntitySet LOGICAL_DISK                                 
MDM_DEVDETAIL_EXT01                           EntitySet MDM_DEVDETAIL_EXT01                          
MDM_RemoteFind                                EntitySet MDM_RemoteFind                               
MDM_SecurityStatus                            EntitySet MDM_SecurityStatus                           
MODEM_DEVICE                                  EntitySet MODEM_DEVICE                                 
MOTHERBOARD_DEVICE                            EntitySet MOTHERBOARD_DEVICE                           
NAPCLIENT                                     EntitySet NAPCLIENT                                    
NETWORK_ADAPTER_CONFIGURATION                 EntitySet NETWORK_ADAPTER_CONFIGURATION                
NETWORK_ADAPTER                               EntitySet NETWORK_ADAPTER                              
NETWORK_CLIENT                                EntitySet NETWORK_CLIENT                               
NETWORK_LOGIN_PROFILE                         EntitySet NETWORK_LOGIN_PROFILE                        
NT_EVENTLOG_FILE                              EntitySet NT_EVENTLOG_FILE                             
OFFICE365PROPLUSCONFIGURATIONS                EntitySet OFFICE365PROPLUSCONFIGURATIONS               
OPERATING_SYSTEM                              EntitySet OPERATING_SYSTEM                             
OPTIONAL_FEATURE                              EntitySet OPTIONAL_FEATURE                             
OS_RECOVERY_CONFIGURATION                     EntitySet OS_RECOVERY_CONFIGURATION                    
PAGE_FILE_SETTING                             EntitySet PAGE_FILE_SETTING                            
PARALLEL_PORT                                 EntitySet PARALLEL_PORT                                
PARTITION                                     EntitySet PARTITION                                    
PC_BIOS                                       EntitySet PC_BIOS                                      
PCMCIA_CONTROLLER                             EntitySet PCMCIA_CONTROLLER                            
PHYSICAL_MEMORY                               EntitySet PHYSICAL_MEMORY                              
PNP_DEVICE_DRIVER                             EntitySet PNP_DEVICE_DRIVER                            
POINTING_DEVICE                               EntitySet POINTING_DEVICE                              
PORTABLE_BATTERY                              EntitySet PORTABLE_BATTERY                             
PORT                                          EntitySet PORT                                         
POWER_MANAGEMENT_CAPABILITIES                 EntitySet POWER_MANAGEMENT_CAPABILITIES                
POWER_MANAGEMENT_CLIENTOPTOUT_SETTINGS        EntitySet POWER_MANAGEMENT_CLIENTOPTOUT_SETTINGS       
POWER_MANAGEMENT_CONFIGURATION                EntitySet POWER_MANAGEMENT_CONFIGURATION               
POWER_MANAGEMENT_DAY                          EntitySet POWER_MANAGEMENT_DAY                         
POWER_MANAGEMENT_MONTH                        EntitySet POWER_MANAGEMENT_MONTH                       
POWER_MANAGEMENT_SETTINGS                     EntitySet POWER_MANAGEMENT_SETTINGS                    
POWER_MANAGEMENT_SUSPEND_ERROR                EntitySet POWER_MANAGEMENT_SUSPEND_ERROR               
POWER_SUPPLY                                  EntitySet POWER_SUPPLY                                 
PRINT_JOB                                     EntitySet PRINT_JOB                                    
PRINTER_CONFIGURATION                         EntitySet PRINTER_CONFIGURATION                        
PRINTER_DEVICE                                EntitySet PRINTER_DEVICE                               
PROCESSOR                                     EntitySet PROCESSOR                                    
PROCESS                                       EntitySet PROCESS                                      
PROTECTED_VOLUME_INFO                         EntitySet PROTECTED_VOLUME_INFO                        
PROTOCOL                                      EntitySet PROTOCOL                                     
